weight,pkg
0000,accuratesums
0000,adb
0000,adix
0000,ago
0000,ajax
0000,akane
0000,allegro5
0000,alsa
0000,amka
0000,anano
0000,animatecss
0000,anime
0000,ansiparse
0000,ansiutils
0000,antlr4nim
0000,anttweakbar
0000,anybar
0000,anycase
0000,aossoa
0000,appdirs
0000,applicates
0000,arbitrary
0000,arduino
0000,argon2_bind
0000,argon2
0000,argparse
0000,arksys
0000,array2d
0000,arrayfirenim
0000,artemis
0000,arturo
0000,asciigraph
0000,asciitables
0000,asciitext
0000,asciitype
0000,aspartame
0000,ass
0000,assigns
0000,assimp
0000,assume
0000,ast_pattern_matching
0000,astronimy
0000,asyncanything
0000,asyncdocker
0000,asyncpg
0000,asyncpythonfile
0000,asynctest
0000,asyncthreadpool
0000,asynctools
0000,at
0000,audiodb
0000,aur
0000,authenticode
0000,autoderef
0000,autome
0000,autonim
0000,avbin_nim
0000,awslambda
0000,babel
0000,backoff
0000,badgemaker
0000,badresults
0000,ballena_itcher
0000,balls
0000,bamboo_websocket
0000,barbarus
0000,barcode
0000,base32
0000,base45
0000,base58
0000,base62
0000,base64_decoder
0000,basedon
0000,basic2d
0000,basic3d
0000,batteries
0000,battery_widget
0000,bcrypt
0000,beanstalkd
0000,bearlibterminal
0000,benchy
0000,bencode
0000,bgfxdotnim
0000,bgfxextrasdotnim
0000,bgfx
0000,bigints
0000,binaryheap
0000,binaryparse
0000,bingod
0000,bingo
0000,binstreams
0000,bio
0000,bipbuffer
0000,biscuits
0000,bisect
0000,bitarray
0000,bitseqs
0000,bitset
0000,bitstreams
0000,bitty
0000,bitvec
0000,bitvector
0000,blackvas
0000,blake2
0000,blarg
0000,bloom
0000,blosc
0000,boneio
0000,bped
0000,bpg
0000,breeze
0000,bs
0000,bson
0000,bytes2human
0000,bytesequtils
0000,byteutils
0000,c2nim
0000,cache
0000,cairo
0000,calendar
0000,cal
0000,calibre
0000,c_alikes
0000,camelize
0000,canonicaljson
0000,capstone
0000,cascade
0000,cassandra
0000,cassette
0000,catnip
0000,cdt
0000,chacha20
0000,chain
0000,chebyshev
0000,checkpack
0000,chipmunk7
0000,chipmunk
0000,chonker
0000,chroma
0000,chronopipe
0000,circleci_client
0000,cirru_parser
0000,cirruparser
0000,cirru_writer
0000,clang
0000,clapfn
0000,classes
0000,classy
0000,clibpp
0000,cligen
0000,cli
0000,cli_menu
0000,clipper2
0000,cliptomania
0000,closure_compiler
0000,cmark
0000,cmd
0000,cmixer
0000,coalesce
0000,coap
0000,cobs
0000,cocktaildb
0000,codegenlib
0000,collections
0000,colorizeecho
0000,colorize
0000,colorsys
0000,combparser
0000,commandant
0000,commandeer
0000,compactdict
0000,compiler
0000,complex
0000,configparser
0000,conio
0000,constants
0000,constructor
0000,consul
0000,contracts
0000,contra
0000,controlstructures
0000,cookiejar
0000,cookies
0000,couchdb
0000,coverartarchive
0000,cowstrings
0000,cppclass
0000,cppstl
0000,crap
0000,crc32
0000,criterion
0000,csfml
0000,css_html_minify
0000,csv2dbsrc
0000,csv
0000,csvtable
0000,csvtools
0000,ctrulib
0000,currying
0000,cutelog
0000,daemon
0000,daemonim
0000,daemonize
0000,darwin
0000,dashing
0000,datetime2human
0000,dav1d
0000,db_clickhouse
0000,dbg
0000,db
0000,db_nimternalsql
0000,db_presto
0000,db_wrapper
0000,decimal128
0000,decimal
0000,deepspeech
0000,defines
0000,delaunay
0000,deriveables
0000,deser
0000,des
0000,desim
0000,devil
0000,diff
0000,digitalocean
0000,directnimrod
0000,distorm3
0000,dnsclient
0000,dnsprotec
0000,dnsstamps
0000,dogapi
0000,dotenv
0000,downit
0000,dpdk
0000,drand48
0000,drawille
0000,drchaos
0000,dslutils
0000,dtoa
0000,dual
0000,easings
0000,eastasianwidth
0000,easy_bcrypt
0000,easymail
0000,easy_sqlite3
0000,echon
0000,ed25519
0000,editlyconf
0000,edlib
0000,edn
0000,einheit
0000,elvis
0000,emerald
0000,eminim
0000,emitter
0000,encode
0000,enet
0000,ensem
0000,entoody
0000,espeak
0000,etcd_client
0000,eternity
0000,etf
0000,euclidean
0000,eventemitter
0000,expat
0000,exporttosqlite3
0000,exprgrad
0000,extensions
0000,extmath
0000,fab
0000,faker
0000,falas
0000,fastcgi
0000,faststack
0000,fasttext
0000,fastx_reader
0000,feednim
0000,ffbookmarks
0000,ffmpeg
0000,ffpass
0000,figures
0000,fileinput
0000,filesize
0000,filetype
0000,finals
0000,findtests
0000,findxml
0000,firejail
0000,fixmath
0000,flatdb
0000,flatty
0000,fletcher
0000,flickr_image_bot
0000,flower
0000,fltk
0000,fmod
0000,fnmatch
0000,fontconfig
0000,foreach
0000,forestdb
0000,formulas
0000,fowltek
0000,fpn
0000,fragments
0000,freegeoip
0000,freeimage
0000,freetype
0000,frida
0000,fsm
0000,fsmonitor
0000,fswatch
0000,ftd2xx
0000,funchook
0000,fuse
0000,fusion
0000,fuzzy
0000,fwrite
0000,gameoflife
0000,gapbuffer
0000,gapi
0000,gara
0000,gatabase
0000,gdbmc
0000,geminim
0000,gene
0000,genny
0000,genode
0000,gentabs
0000,geocoding
0000,geohash
0000,geometrymath
0000,geonames
0000,georefar
0000,getch
0000,getdns
0000,getr
0000,gifenc
0000,gifwriter
0000,gimei
0000,gintro
0000,gitapi
0000,github_api
0000,github-dadadani-nim-random
0000,github-disruptek-balls
0000,github-disruptek-testes
