weight,pkg
0000,about
0000,accuratesums
0000,adb
0000,ad
0000,adix
0000,ago
0000,akane
0000,alasgar
0000,alea
0000,algebraicdatas
0000,allegro5
0000,allographer
0000,alsa
0000,alut
0000,amka
0000,amysql
0000,anano
0000,android
0000,animatecss
0000,anime
0000,anonimongo
0000,ansitohtml
0000,ansiwave
0000,antlr4nim
0000,anttweakbar
0000,anybar
0000,anycase_fork
0000,anycase
0000,aossoa
0000,aporia
0000,appdirs
0000,applicates
0000,aqcalc
0000,arbitrary
0000,arduino
0000,argon2_bind
0000,argon2_highlevel
0000,arksys
0000,array2d
0000,arrayfirenim
0000,arraymancer_vision
0000,artemis
0000,arturo
0000,asciigraph
0000,asciitables
0000,asciitext
0000,ass
0000,assigns
0000,assimp
0000,assume
0000,astar
0000,astdot
0000,astronimy
0000,asyncanything
0000,asyncdocker
0000,async_http_request
0000,asyncmysql
0000,asyncpg
0000,asyncpythonfile
0000,asyncredis
0000,at
0000,atoz
0000,audiodb
0000,audius
0000,aur
0000,autoderef
0000,autome
0000,autonim
0000,autotyper
0000,avbin_nim
0000,awesome_rmdir
0000,awslambda
0000,awss3
0000,aws_sdk
0000,azure_translate
0000,babel
0000,backoff
0000,badgemaker
0000,badresults
0000,baker
0000,ballena_itcher
0000,ballpark
0000,balls
0000,bamboo_websocket
0000,barbarus
0000,barcode
0000,base45
0000,base58
0000,base62
0000,base64_decoder
0000,basedon
0000,basic3d
0000,batchsend
0000,batteries
0000,battery_widget
0000,bcra
0000,beanstalkd
0000,bearlibterminal
0000,bearssl_pkey_decoder
0000,bencode
0000,bgfxdotnim
0000,bgfxextrasdotnim
0000,bgfx
0000,biblioteca_guarrilla
0000,binance
0000,binaryparse
0000,bingod
0000,bingo
0000,binio
0000,bio
0000,bionim
0000,bioseq
0000,biscuits
0000,bisect
0000,bitarray
0000,bitset
0000,bitvec
0000,bitvector
0000,blackvas_cli
0000,blackvas
0000,blake2
0000,bloom
0000,blosc
0000,blurhash
0000,bluu
0000,boneio
0000,boxy
0000,bped
0000,bpg
0000,brainlyextractor
0000,breeze
0000,bs
0000,buffer
0000,bu
