weight,count
0000,1499
0001,207
0002,65
0003,52
0004,25
0005,26
0006,22
0007,10
0008,7
0009,7
0010,5
0011,6
0012,7
0013,2
0014,2
0015,1
0016,2
0018,3
0019,1
0021,2
0022,3
0023,3
0024,2
0025,4
0026,2
0027,2
0028,1
0030,1
0031,3
0034,2
0036,1
0038,1
0039,1
0040,1
0043,1
0048,1
0049,1
0051,1
0054,1
0055,1
0057,1
0058,2
0059,2
0061,1
0063,1
0065,1
0067,1
0069,1
0073,1
0075,1
0076,1
0083,1
0087,1
0101,1
0104,1
0109,1
0119,1
0122,1
0123,1
0131,1
0136,1
0206,1
0258,1
0262,1
0263,1
0562,1
0582,1
0853,1
